time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.010,0.00000,0.00000,0.00000
0.021,0.00000,0.00000,0.00000
0.031,0.00000,0.00000,0.00000
0.041,0.00000,0.00000,0.00000
0.051,0.00000,0.00000,0.00000
0.061,0.00000,0.00000,0.00000
0.071,0.00000,0.00000,0.00000
0.082,0.00000,0.00000,0.00000
0.092,0.00000,0.00000,0.00000
0.102,0.00000,0.00000,0.00000
0.112,0.00000,0.00000,0.00000
0.123,0.00000,0.00000,0.00000
0.133,0.00000,0.00000,0.00000
0.143,0.00000,0.00000,0.00000
0.154,0.00000,0.00000,0.00000
0.164,0.00000,0.00000,0.00000
0.174,0.00000,0.00000,0.00000
0.185,0.00000,0.00000,0.00000
0.196,0.00000,0.00000,0.00000
0.206,0.00000,0.00000,0.00000
0.216,0.00000,0.00000,0.00000
0.227,0.00000,0.00000,0.00000
0.237,0.00000,0.00000,0.00000
0.247,0.00000,0.00000,0.00000
0.258,0.00000,0.00000,0.00000
0.268,0.00000,0.00000,0.00000
0.280,0.00000,0.00000,0.00000
0.290,0.85766,0.99170,0.24994
0.301,0.33354,0.43520,0.67022
0.311,0.08553,1.49017,0.67572
0.322,0.25413,1.55308,0.60425
0.332,0.94685,1.95381,0.45397
0.343,1.36712,2.44067,-0.11535
0.353,1.21380,2.22626,-1.34747
0.364,0.87049,1.02408,-2.51605
0.374,1.08185,-1.11334,-2.82027
0.384,1.62919,-1.76391,-2.91800
0.395,2.61451,-2.14204,-2.98703
0.405,3.40131,-2.55071,-3.14952
0.416,4.25713,-2.44686,-3.61683
0.427,4.56684,-0.82379,-3.52398
0.438,4.08731,0.78645,-2.70237
0.448,3.12703,1.75589,-1.13000
0.459,2.02014,1.72046,0.12960
0.469,0.98717,1.93610,1.02208
0.480,0.41845,2.11630,1.60790
0.491,0.23153,1.70030,1.66715
0.501,0.24191,0.83837,1.54376
0.512,0.45816,0.04486,1.35866
0.522,0.62920,-0.24164,1.30063
0.533,0.83567,-0.19399,1.24382
0.543,1.14172,0.46513,1.06362
0.554,1.62247,1.73634,0.74597
0.564,1.86193,2.25069,0.59691
0.575,1.53267,2.07354,0.79361
0.585,0.69578,0.80783,0.81805
0.596,-0.19486,-0.31311,0.53705
0.607,-0.69332,-0.73461,0.12838
0.617,-0.75197,-0.67291,-0.26196
0.628,-0.46181,-0.45116,-0.44766
0.638,0.01467,0.17131,-0.17888
0.649,0.53329,0.83654,0.37700
0.660,1.15638,1.17557,0.94389
0.671,1.60658,1.24093,0.99764
0.682,1.82344,0.88907,0.67266
0.693,1.96883,0.09861,0.18764
0.703,2.36100,-0.97834,-0.36642
0.714,2.87107,-1.46031,-0.65353
0.724,3.57907,-1.58004,-0.67552
0.735,4.30600,-1.09441,-0.46171
0.746,4.93702,0.36434,0.14610
0.757,4.74521,0.88907,0.79056
0.768,4.10991,0.87747,1.30918
0.779,3.18995,0.38694,1.31102
0.790,2.80388,-0.11580,1.20350
0.800,2.78189,-0.98078,-0.00540
0.811,2.84053,-1.32653,-0.56617
0.822,3.12519,-0.97162,-0.51425
0.833,3.20522,-0.24775,-0.29189
0.844,2.84969,0.57753,-0.17522
0.855,2.04824,0.22445,-0.31938
0.865,1.80328,-0.12863,-0.17766
0.876,2.04335,-0.18666,-0.01456
0.886,2.39399,-0.47071,0.14304
0.897,2.53571,-0.55074,0.30553
0.907,2.19851,-0.48232,0.63357
0.918,1.71898,-0.28684,0.59203
0.929,1.26511,-0.00157,0.60547
0.939,0.87293,0.13343,1.00253
0.950,0.61881,0.04119,0.98604
0.960,0.35248,-0.26913,0.46497
0.972,-0.07330,-0.55745,-0.68468
0.983,-0.69088,-1.49880,-1.03532
0.993,-0.23884,-1.16771,-0.01151
1.003,-0.20524,-0.53180,0.39044
1.014,-0.35429,-0.34121,0.27682
1.025,-0.28954,-0.61060,0.11372
1.035,-0.20402,-1.08708,-0.07015
1.046,-0.00732,-1.24590,-0.33221
1.056,0.38424,-1.06203,-0.54907
1.067,0.84728,-0.95024,-0.52219
1.078,1.41172,-0.47621,-0.30900
1.089,2.36650,0.95321,0.30675
1.099,3.04578,1.13525,1.07889
1.110,3.11359,0.83165,1.57858
1.120,2.19668,0.58731,0.94266
1.131,1.72387,0.05891,0.02270
1.142,1.14660,-0.50981,-0.10008
1.152,0.69212,-0.19949,0.75513
1.163,1.50823,0.31792,0.84432
1.173,1.01771,-0.11702,0.56332
1.184,0.65486,-0.22087,0.40266
1.194,0.63164,-0.05288,0.19619
1.204,0.47832,0.03142,0.02209
1.215,0.26573,0.00149,0.01476
1.226,0.12462,-0.00218,-0.10436
1.236,0.07148,0.01676,-0.35848
1.247,0.24802,0.00271,-0.43484
1.258,0.45388,-0.08465,-0.37925
1.268,0.56384,-0.12679,-0.26868
1.278,0.61026,-0.31372,0.06668
1.289,0.42761,-0.61304,0.20291
1.299,0.46915,-0.55745,0.13632
1.310,0.55040,-0.32594,-0.10802
1.320,0.59560,0.09739,-0.30717
1.331,0.73732,0.11816,-0.40307
1.342,0.77153,0.43276,-0.24180
1.352,0.60660,0.05646,0.03736
1.363,0.41479,-0.18055,0.16931
1.373,0.27734,-0.23247,0.07096
1.383,0.01284,-0.18544,-0.09031
1.394,-0.17103,-0.11519,-0.18499
1.404,-0.30604,-0.04250,-0.31022
1.415,-0.33352,-0.15612,-0.41285
1.425,-0.31703,-0.09320,-0.43361
1.436,-0.26633,-0.02845,-0.41712
1.447,-0.10445,0.12794,-0.29739
1.457,-0.10078,0.09251,-0.18805
1.467,-0.11361,-0.06754,-0.13857
1.478,-0.14782,-0.02967,0.05202
1.488,-0.20891,0.14199,0.11006
1.499,-0.04459,0.22934,0.05447
1.509,0.22236,0.34724,0.03797
1.519,0.54062,0.31792,0.06180
1.530,0.91692,0.32647,-0.11352
1.540,1.25656,0.40588,-0.01639
1.550,1.37934,0.39366,0.37028
1.561,1.12095,0.48407,0.61341
1.571,0.89615,0.38083,0.88341
1.581,0.37447,0.12122,0.60669
1.592,0.04338,0.14809,0.24567
1.602,-0.35674,0.08579,0.02637
1.612,-0.80756,0.13893,-0.13612
1.623,-1.07695,0.09189,-0.15140
1.633,-1.13803,0.13466,-0.17033
1.643,-1.00609,0.16153,-0.18621
1.653,-0.79412,0.22445,-0.17827
1.664,-0.51495,0.19513,-0.15445
1.674,-0.23884,0.20246,-0.16544
1.685,0.04643,0.29776,-0.15750
1.695,0.39890,0.12671,-0.12391
1.705,0.63836,-0.01440,-0.02922
1.716,0.74649,-0.12741,0.08562
1.726,0.98472,-0.24897,0.03675
1.737,1.16004,0.20552,-0.04449
1.747,1.32253,0.08701,-0.43606
1.757,1.32803,0.02348,-0.81602
1.767,1.05619,-0.09381,-0.55823
1.778,0.39707,-0.32655,-0.06282
1.788,-0.09162,-0.38641,0.25605
1.799,-0.05192,-0.41146,0.29087
1.809,0.17899,-0.37358,0.28232
1.819,0.30544,-0.37297,0.27926
1.830,0.36714,-0.45483,0.28354
1.840,0.32743,-0.57456,0.31042
1.850,0.27001,-0.74866,0.35990
1.861,0.23641,-0.94352,0.40816
1.871,0.18143,-1.02538,0.44725
1.881,0.08919,-1.04859,0.45825
1.892,-0.05741,-1.10174,0.46314
1.902,-0.25839,-1.12373,0.47841
1.912,-0.35246,-1.07119,0.46680
1.923,-0.32619,-0.97529,0.39961
1.933,-0.23945,-0.82318,0.31286
1.943,-0.15210,-0.66069,0.20779
1.954,-0.17653,-0.62037,0.12472
1.964,-0.39400,-0.62098,0.10700
1.974,-0.77213,-0.64420,0.19741
1.984,-1.29808,-0.41940,0.36295
1.995,-1.43858,-0.27218,0.44481
2.005,-1.35489,-0.12557,0.51445
2.015,-1.15453,-0.03272,0.58042
2.025,-0.99326,-0.14207,0.54621
2.036,-0.78190,-0.28623,0.38067
2.046,-0.56993,-0.33082,0.20413
2.056,-0.37812,-0.37969,0.07890
2.067,-0.17348,-0.34915,-0.02311
2.077,-0.02015,-0.34304,-0.08176
2.087,0.09958,-0.33632,-0.13735
2.098,0.27001,-0.31800,-0.24913
2.108,0.38363,-0.39924,-0.36092
2.118,0.51680,-0.45911,-0.43728
2.129,0.78375,-0.59533,-0.55701
2.139,0.99022,-0.70528,-0.71706
2.149,1.22052,-0.74010,-0.81235
2.160,1.45142,-0.81219,-0.88871
2.170,1.63896,-0.83112,-0.83251
2.180,1.73242,-0.34854,-0.71339
2.191,1.74586,0.68016,-0.66452
2.201,1.75686,0.76079,-0.57656
2.211,1.63346,0.48957,-0.36275
2.222,1.05558,0.75957,-0.13001
2.232,0.57666,1.32340,-0.12513
2.242,0.30116,1.51827,-0.01273
2.253,0.15761,1.43091,0.15343
2.263,0.03361,1.40098,0.18519
2.273,-0.11850,1.37777,0.20107
2.284,-0.22051,1.25254,0.26644
2.294,-0.19486,1.08944,0.33913
2.304,-0.11239,1.02041,0.37517
2.315,-0.02320,0.98498,0.41549
2.325,0.05315,1.00758,0.47535
2.335,0.06904,1.01980,0.55232
2.346,0.09408,0.95810,0.61096
2.356,0.07331,0.94711,0.63723
2.366,-0.02809,0.97582,0.60852
2.376,-0.09834,0.95505,0.54438
2.387,-0.12705,0.86586,0.43626
2.397,-0.22174,0.62640,0.16198
2.407,-0.45692,0.39366,-0.05610
2.418,-0.66584,0.22079,-0.20332
2.428,-0.75624,0.05891,-0.29373
2.438,-0.82588,0.05769,-0.39024
2.448,-0.92179,0.41993,-0.44950
2.459,-0.48991,0.66977,-0.47882
2.469,0.23886,0.57998,-0.39880
2.480,0.54123,0.54455,-0.25219
2.490,0.27917,0.10289,-0.25830
2.500,-0.06352,-0.61549,-0.59183
2.511,0.33598,-0.65947,-0.81724
2.521,0.93036,-0.28623,-0.66819
2.531,1.27427,-0.25447,-0.46416
2.542,1.36651,-0.62343,-0.42384
2.552,1.34086,-1.19459,-0.53991
2.563,0.99999,-1.26667,-0.72255
2.573,0.71167,-1.59226,-0.72439
2.583,0.61148,-2.14021,-0.55151
2.593,0.47893,-2.21351,-0.53624
2.604,0.26451,-2.15426,-0.65963
2.614,0.02383,-1.93984,-0.70301
2.624,-0.45753,-1.59531,-0.61504
2.635,-0.92057,-1.65213,-0.45133
2.645,-1.10688,-1.81156,-0.25036
2.655,-1.02808,-1.86654,-0.17705
2.665,-0.92301,-1.74559,-0.28579
2.676,-0.80511,-1.53667,-0.46171
2.686,-0.66217,-1.39129,-0.47882
2.697,-0.56565,-1.32837,-0.33465
2.707,-0.57970,-1.15671,-0.07259
2.717,-0.67011,-1.01438,0.07096
2.727,-0.87842,-0.92703,0.21329
2.738,-0.99448,-0.76393,0.35074
2.748,-1.01586,-0.40474,0.57309
2.759,-1.09588,0.03692,0.71420
2.769,-0.96149,0.44131,0.57004
2.779,-0.54366,0.30509,0.70015
2.790,0.46243,0.05219,0.70382
2.800,1.04092,-0.25447,0.31347
2.810,0.99755,-0.47682,-0.08237
2.820,1.12889,-0.33815,0.04836
2.831,1.38362,-0.08831,0.38006
2.841,1.52045,0.05402,0.58775
2.851,1.43554,0.12244,0.52667
2.862,1.54489,0.05341,0.27804
2.872,1.82711,0.27393,0.08196
2.882,1.58398,0.91290,0.08257
2.892,1.10262,1.12426,0.22551
2.903,0.62614,1.41014,0.39289
2.913,0.24374,1.76628,0.51445
2.923,0.13929,1.99352,0.70748
2.934,0.17655,2.11630,0.88097
2.944,0.19854,2.20305,0.93167
2.954,0.13929,2.22381,0.87608
2.965,0.03177,2.04483,0.79850
2.977,-0.06719,1.91960,0.81011
2.987,-0.14110,2.00024,0.82355
2.998,-0.21379,2.06499,0.82782
3.008,-0.19547,2.03628,0.82416
3.018,-0.07207,1.85119,0.79545
3.029,-0.10689,1.76872,0.72336
3.039,-0.25045,1.72229,0.62501
3.049,-0.36529,1.58913,0.51995
3.060,-0.48624,1.28980,0.37700
3.070,-0.57787,0.87197,0.21818
3.080,-0.72875,0.36251,-0.03777
3.091,-0.82222,0.13527,-0.45194
3.101,-0.72509,0.30509,-0.60344
3.111,0.11119,-0.00707,-0.55090
3.122,0.31888,-0.20804,-0.30472
3.132,-0.33047,0.03081,-0.20393
3.142,-0.25106,0.06196,-0.11291
3.153,-0.08857,-0.26424,0.00071
3.163,0.03055,-0.32777,-0.06648
3.173,0.40746,-0.06082,-0.24486
3.184,0.80146,-0.16406,-0.39208
3.194,0.87293,-0.83418,-0.42628
3.205,0.90531,-1.46825,-0.55762
3.215,0.95418,-1.67289,-0.59427
3.225,0.81185,-1.83355,-0.55518
3.236,0.63286,-2.20374,-0.55701
3.246,0.34454,-2.44930,-0.50936
3.257,-0.06780,-2.43098,-0.49470
3.267,-0.32253,-2.40349,-0.47271
3.277,-0.89186,-2.33507,-0.45927
3.288,-1.08611,-2.29537,-0.45683
3.299,-1.07817,-2.26788,-0.45377
3.309,-0.93828,-2.19091,-0.50203
3.319,-0.80145,-2.12799,-0.62543
3.330,-0.73608,-2.10783,-0.78364
3.340,-0.75441,-2.04980,-0.82274
3.350,-0.82099,-2.04369,-0.77509
3.361,-0.96210,-1.96916,-0.64314
3.371,-1.07023,-1.79934,-0.37986
3.381,-1.02502,-1.56355,0.03919
3.391,-1.01525,-1.18909,0.62135
3.402,-1.16674,-0.74377,1.28536
3.412,-1.51005,-0.87083,1.79421
3.422,-0.66889,-0.64908,1.29391
3.433,0.44166,0.49079,0.96038
3.443,0.43800,-0.03394,0.15831
3.454,0.42089,-0.19399,-0.13063
3.464,0.33415,-0.23919,-0.29128
3.474,0.29322,-0.27462,-0.26502
3.484,0.38974,-0.05410,-0.13063
3.495,0.73793,0.06318,-0.08481
3.505,1.13377,-0.03761,-0.00295
3.515,1.50762,0.40405,0.11433
3.525,1.69577,1.34295,0.03003
3.536,1.74708,1.72474,0.11555
3.546,1.46486,1.71374,0.37151
3.557,0.65241,1.85607,0.69404
3.567,0.35003,1.94648,0.91029
3.577,0.42884,1.82248,1.06178
3.588,0.38791,1.58180,1.18762
3.598,0.01772,1.57202,1.20350
3.609,-0.18081,1.59218,1.19129
3.619,-0.52534,1.63555,1.17296
3.630,-0.53878,1.77910,1.13142
3.640,-0.42271,1.80843,1.03857
3.651,-0.26205,1.65143,0.93839
3.663,-0.20646,1.41625,0.75757
3.674,-0.34391,1.25376,0.62440
3.684,-0.68660,1.08883,0.46497
3.694,-1.07267,0.82188,0.30798
3.704,-1.27120,0.60136,0.13082
3.715,-1.27487,0.34418,-0.07198
3.725,-1.18935,0.35090,-0.20515
3.735,-0.86376,0.33502,-0.46171
3.746,0.46182,0.22873,-0.67674
3.756,0.64447,0.32586,-0.60344
3.766,-0.05253,0.37473,-0.35787
3.777,-0.18692,0.14321,-0.23753
3.787,0.16739,-0.17139,-0.35542
3.797,0.68357,-0.53546,-0.57411
3.808,1.08735,-0.55929,-0.81418
3.818,1.21624,-0.43956,-0.87344
3.829,1.15210,-0.26852,-0.81785
3.839,1.07391,-0.52202,-0.80197
3.849,0.96395,-1.07852,-0.80197
3.860,0.54734,-1.36868,-0.74149
3.870,0.06965,-1.49635,-0.73966
3.880,-0.36162,-1.69489,-0.67185
3.891,-0.54611,-1.70588,-0.59610
3.903,-0.79351,-1.50491,-0.58450
3.913,-1.07878,-1.43344,-0.61932
3.924,-1.15880,-1.64357,-0.69201
3.934,-1.09650,-1.79690,-0.79708
3.944,-1.06840,-1.73459,-0.89482
3.955,-1.06168,-1.63441,-0.91742
3.965,-0.99020,-1.48292,-0.76898
3.975,-0.78618,-1.39190,-0.56678
3.985,-0.66339,-1.14083,-0.31266
3.996,-0.66217,-0.85556,-0.05549
4.006,-0.74830,-0.74071,0.18336
4.016,-1.09833,-0.41818,0.41488
4.027,-1.28220,-0.06937,0.40632
4.037,-1.07450,0.13771,0.23162
4.047,-0.30481,0.22751,-0.02311
4.058,0.34026,0.40649,-0.16056
4.068,0.16311,0.15115,0.02453
4.078,0.39279,-0.06632,0.04897
4.088,0.86194,-0.47438,-0.28945
4.099,1.25045,-0.74071,-0.57717
4.109,1.66095,-0.75049,-0.57778
4.119,1.97310,-0.40046,-0.40246
4.130,1.93523,0.06868,-0.27662
4.140,1.78435,0.34174,-0.25036
4.150,1.63529,0.74430,-0.14956
4.161,0.81735,1.73268,-0.01578
4.171,0.22603,2.37836,0.24139
4.181,0.09530,2.82674,0.42954
4.192,0.37019,3.15233,0.61707
4.202,0.65486,3.49319,0.69649
4.212,0.75870,3.61048,0.63418
4.222,0.70739,3.44555,0.53888
4.233,0.70922,3.29894,0.49795
4.243,0.67685,3.08391,0.42037
4.253,0.51252,2.98740,0.41243
4.264,0.28650,2.86278,0.47047
4.274,0.08553,2.68013,0.43137
4.284,0.03788,2.45961,0.33058
4.294,-0.07207,2.07782,0.28782
4.305,-0.50823,1.64960,0.20718
4.315,-0.64201,1.36127,0.10639
4.325,-0.60902,0.96482,-0.02311
4.336,-0.80817,0.45169,-0.11658
4.346,-0.85887,0.09678,-0.19171
4.357,-0.59009,0.06441,-0.28334
4.367,-0.83810,0.03997,-0.17400
4.378,-1.16491,-0.08587,-0.18072
4.389,-1.23027,-0.03883,-0.34870
4.399,-1.00242,-0.19460,-0.20943
4.409,-0.78679,-0.19704,0.10211
4.420,-0.14355,0.03203,0.22001
4.430,0.45449,0.01065,0.21207
4.440,0.96640,-0.30639,-0.01700
4.451,1.07513,-0.71139,-0.24547
4.461,0.86621,-0.99606,-0.41834
4.471,0.31460,-1.57577,-0.58877
4.481,-0.06352,-1.96550,-0.62970
4.492,-0.31092,-2.17380,-0.57534
4.502,-0.55649,-2.29964,-0.46966
4.513,-0.62674,-2.32347,-0.34076
4.523,-0.52167,-2.25322,-0.25769
4.533,-0.37567,-1.99665,-0.14468
4.544,-0.31153,-1.94045,-0.13307
4.554,-0.21074,-2.02353,-0.18744
4.564,-0.11911,-2.16037,-0.25158
4.575,-0.22968,-2.22634,-0.32060
4.585,-0.44104,-2.23856,-0.42201
4.595,-0.46547,-2.24528,-0.49470
4.606,-0.35002,-2.17075,-0.48981
4.616,-0.26389,-1.99604,-0.38536
4.627,-0.20341,-1.79690,-0.23692
4.637,-0.24495,-1.59165,0.01598
4.647,-0.45509,-1.40045,0.36418
4.658,-0.80084,-1.07058,0.66350
4.668,-0.83138,-0.89343,0.64578
4.678,-0.26450,-0.57700,0.42221
4.688,0.23030,-0.13046,0.26766
4.699,0.00489,0.12061,0.21207
4.709,-0.44226,-0.04921,0.38189
4.719,-0.40438,-0.33327,0.31531
4.730,-0.23029,-0.17322,0.14060
4.740,-0.11056,-0.02234,0.10944
4.750,0.28223,0.00882,0.18764
4.761,0.78619,0.12916,0.29820
4.771,1.03848,0.33868,0.35562
4.781,1.09468,1.16702,0.40510
4.792,1.33964,1.46329,0.29148
4.802,1.47219,1.37777,0.13877
4.812,1.23029,1.51216,0.04469
4.823,0.92241,1.79865,0.02026
4.833,0.16922,1.96359,0.14732
4.843,0.08553,1.77727,0.22673
4.854,0.13501,1.76567,0.26033
4.864,0.16433,1.70641,0.28415
4.875,0.17838,1.72718,0.32386
4.886,0.20953,1.80293,0.33669
4.897,0.20648,1.77666,0.32813
4.907,0.22664,1.68870,0.29698
4.917,0.20770,1.50666,0.24445
4.928,0.09469,1.27758,0.19435
4.938,-0.18997,1.12792,0.13021
4.948,-0.66339,0.98803,-0.01395
4.958,-1.07084,0.74552,-0.27723
4.969,-0.90041,0.63495,-0.63825
4.979,-0.63590,0.65328,-1.13000
4.989,-0.21563,1.26964,-1.24851
5.000,0.99144,-0.00951,-0.49531
5.010,1.31092,0.16214,-0.29312
5.020,0.51680,0.71681,-0.51853
5.030,-0.01038,0.58547,-0.34687
5.041,0.15211,-0.13290,-0.18499
5.052,0.51069,-0.47193,-0.29067
5.062,0.69151,-0.58922,-0.39941
5.072,0.70983,-0.65764,-0.39269
5.083,0.72327,-0.54340,-0.42262
5.093,0.80574,-0.48721,-0.74455
5.103,0.64936,-1.23735,-0.84717
5.114,0.76725,-1.78346,-0.75371
5.124,1.08796,-1.75109,-0.67002
5.135,0.75626,-1.82500,-0.45988
5.145,0.22786,-1.83294,-0.36520
5.155,-0.00854,-1.62403,-0.35787
5.166,-0.00916,-1.42916,-0.37497
5.178,0.02689,-1.44260,-0.45316
5.188,-0.09468,-1.48597,-0.49470
5.198,-0.35796,-1.51590,-0.47576
5.209,-0.62796,-1.65029,-0.40124
5.219,-0.77151,-1.70588,-0.29495
5.230,-0.66645,-1.52751,-0.18744
5.240,-0.50518,-1.25628,-0.04449
5.250,-0.53511,-0.96124,0.25972
5.261,-0.72142,-0.70956,0.51628
5.271,-0.93339,-0.26485,0.88036
5.282,-1.12276,0.08579,1.16013
5.293,-1.05007,-0.26363,0.81560
5.303,0.07026,0.05585,0.48757
5.313,0.55345,0.37350,0.31653
5.324,-0.21868,-0.08587,0.39533
5.334,-0.76968,-0.48721,0.36540
5.345,-0.53572,-0.60510,0.13388
5.355,-0.22113,-0.35892,0.05141
5.365,-0.10140,-0.25263,0.20413
5.376,0.12096,-0.23370,0.42526
5.386,0.14356,0.81394,0.46375
5.396,0.00978,2.01612,0.33608
5.406,0.21687,1.84752,0.44725
5.417,1.13805,1.39121,0.66106
5.427,1.31398,1.95992,0.54072
5.437,0.72633,2.07415,0.67938
5.448,0.32316,1.92693,0.87425
5.458,0.22542,1.94037,0.94328
5.468,-0.00671,1.97275,0.95000
5.479,-0.41233,1.97397,0.95183
5.489,-0.41233,1.97397,0.95183
5.499,-0.41233,1.97397,0.95183
5.510,-0.41233,1.97397,0.95183
5.520,-0.40377,2.07110,0.65495
5.531,-0.27488,1.95809,0.47596
5.541,-0.20708,1.77910,0.30675
5.551,-0.21563,1.55736,0.07096
5.562,-0.44104,1.23360,-0.22653
5.572,-0.72875,0.81699,-0.52341
5.582,-0.80572,0.51522,-0.83617
5.593,-0.57421,0.86342,-1.03593
5.603,-0.33597,0.85303,-0.99195
5.614,1.10201,0.03203,-0.48126
5.624,0.70922,0.29226,-0.03716
5.635,-0.64384,0.74308,0.11616
5.645,-0.59497,0.58853,0.00621
5.655,-0.13866,0.17436,-0.16544
5.666,0.08064,-0.08159,-0.31877
5.679,0.39890,-0.27829,-0.45133
5.689,0.74526,-0.73888,-0.50875
5.700,0.87904,-1.30210,-0.56923
5.711,0.86499,-1.63258,-0.63520
5.721,0.84361,-1.71688,-0.70545
5.731,1.05864,-1.78468,-0.80746
5.741,0.98900,-1.83050,-0.92842
5.752,0.66096,-1.65518,-1.03165
5.762,0.39218,-1.37174,-1.09213
5.773,0.26451,-1.26667,-1.14344
5.783,0.07148,-1.24529,-1.17337
5.793,-0.13560,-1.19886,-1.24362
5.804,-0.08612,-1.23429,-1.36152
5.814,0.24924,-1.36929,-1.40917
5.824,0.43128,-1.44321,-1.28516
5.835,0.51313,-1.46642,-1.09457
5.845,0.66463,-1.37968,-0.72744
5.855,0.51619,-1.24346,-0.40124
5.866,-0.12583,-1.02782,-0.06465
5.876,-1.18568,-0.53241,0.28660
5.887,-1.43491,-0.24958,0.41060
5.897,-0.89613,-0.11030,0.12166
5.907,-0.16493,0.08945,0.03431
5.918,0.98961,0.02103,0.32264
5.928,0.71228,-0.04677,0.31225
5.939,0.12401,-0.20682,0.37212
5.950,-0.03725,-0.68757,0.38983
5.960,0.27856,-0.78836,0.02881
5.970,0.48198,-0.78470,-0.09886
5.981,0.81857,-0.76393,-0.26318
5.991,1.08796,-0.57945,-0.18377
6.001,1.05986,-0.04738,0.19680
6.012,0.85827,0.77362,0.56210
6.022,0.79291,1.19756,0.80339
6.035,0.54368,1.76628,0.94266
6.046,0.08003,2.11813,0.97199
6.057,-0.04336,2.37653,1.05629
6.069,-0.24128,2.44373,0.98481
6.081,-0.42149,2.40158,0.86447
6.091,-0.37506,2.39974,0.76124
6.101,-0.32925,2.40402,0.76857
6.112,-0.45386,2.33011,0.83637
6.122,-0.62124,2.47977,0.94511
6.132,-0.56504,2.64287,0.94266
6.142,-0.34330,2.56773,0.83271
6.153,-0.17592,2.20121,0.64640
6.163,-0.33841,1.77788,0.49734
6.174,-0.74647,1.38571,0.35318
6.184,-1.05557,1.10593,0.17175
6.194,-1.10810,0.64473,-0.28029
6.205,-0.64568,0.45414,-0.87038
6.215,0.26207,-0.02173,-0.84656
6.225,1.15882,-0.63320,-0.11108
6.235,-0.12217,-0.35526,0.20963
6.246,-0.77213,-0.10664,-0.01151
6.256,-0.37445,-0.33449,-0.09581
6.266,-0.22051,-0.53974,-0.12330
6.277,-0.06413,-0.34610,-0.29495
6.287,0.50519,-0.04738,-0.57350
6.297,1.09101,-0.59105,-0.75188
6.308,1.22479,-1.60020,-0.86061
6.318,1.11789,-1.91480,-1.02676
6.328,1.03848,-2.00154,-1.01638
6.339,1.02199,-2.25383,-0.89543
